                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,Character,DelayAtEnd,Expression,French,English,German,Spanish,Brasilian,Chinese,Italian,Russian,Korean,Japanese
Chap04_F2P_StartClick03,Narrator,0,,ON VA TOUS MOURIR !!! ,HEPİMİZ ÖLECEĞİZ!!!,WIR WERDEN ALLE STERBEN!!!!,¡¡¡VAMOS A MORIR TODOS!!!,NÓS VAMOS TODOS MORRER!!!,我们都要完蛋了！！！！！,MORIREMO TUTTI!!!!!,МЫ ВСЕ УМРЁМ!!!,다 죽을 거야!!!,俺たちはもうおしまいだ!!!
Chap04_F2P_StartClick04,Narrator,0,,HAAAAAAAAA !!!!,AAAHHHHH!!!!!!,AAAHHHHH!!!!!!,¡¡¡AAAAAH!!!,AAAHHHHH!!!,啊啊啊啊啊啊啊！！！！！！,AAAHHHHH!!!!!!,А-А-А-А-А-А-А!!!,아아아아아악!!!!!,ああああああ!!!!!!
Chap04_F2P_StartClick05,Narrator,0.3,,Désolé. Désolé... Je me suis un peu emporté.,Üzgünüm. Üzgünüm... Bir an kendimi kontrol edemedim.,Tut mir leid. Tut mir leid ... Ich hab mich ein wenig gehen lassen.,"Perdón, perdón... Me he dejado llevar un poquito.",Desculpa. Desculpa... Eu me empolguei um pouquinho.,对不起。对不起...我有点情绪失控了。,Scusa. Scusa... mi sono lasciato trasportare.,Прости. Прости... Меня немного занесло.,미안해요. 미안요... 조금 정신이 나갔네요.,すまん。ちょっと… 取り乱しちまった。
Chap04_F2P_StartClick06,Narrator,0.2,,Mais être transformé en free2play est la pire chose qui puisse arriver à un jeu.,Ama free2play'e dönüştürülmek bir oyunun başına gelebilecek en kötü şey.,"Aber in ein Free2Play verwandelt zu werden ist das Schlimmste, was einem Spiel passieren kann.",Pero convertirse en free2play es lo peor que le puede pasar a un juego.,Mas ser transformado num free2play é a pior coisa que pode acontecer com um jogo.,被变成一个free2play，对一款游戏来说是最糟的事情了！,Ma essere trasformati in un free2play è la cosa peggiore che possa succedere a un gioco.,"Но переход на Free2Play - это худшее, что может случиться с игрой.",하지만 무료 플레이로 전환되는 건 게임에게 있어서 최악이에요.,でもF2Pにされるってのはゲームにとって最・悪・の・運命なんだ。
Chap04_F2P_StartClick07,Narrator,0.2,,Comment pourrais-je expliquer ça ?,Nasıl açıklayabilirim bunu?,Wie soll ich das erklären?,¿Cómo podría explicártelo?,Como eu posso explicar?,这该怎么解释呢？,Come posso spiegarlo?,Как мне это объяснить?..,어떻게 설명해야 하지?,なんて言ったらいいか…
Chap04_F2P_StartClick08,Narrator,0.5,,C’est comme faire du vélo... mais sans la selle.,Bisiklet sürmek gibi... ama oturağı olmayan bir bisiklet.,Es ist ein bisschen wie Fahrradfahren ... aber ohne Sattel.,Es como ir en bici... pero sin sillín.,É como andar de bicicleta... mas sem o assento.,就像是骑自行车...却没有坐垫。,È come andare in bicicletta... ma senza il seggiolino.,Это как ездить на велосипеде... но без сиденья.,그러니까... 안장 없이 자전거를 타는 거랑 비슷하죠.,シートのないバイクにまたがるようなもんだ。
Chap04_F2P_StartClick09,Narrator,0.2,,Essayons de quitter cette dimension au plus vite.,Bu boyuttan hızlı bir şekilde çıkmaya çalışalım.,Lass uns diese Dimension schnell verlassen.,Intentemos abandonar esta dimensión cuanto antes.,Vamos tentar sair dessa dimensão o mais rápido possível.,让我们速速离开这个维度吧。,Cerchiamo di lasciare questa dimensione in fretta.,Попробуем быстро покинуть это измерение.,이 차원을 빠르게 벗어납시다.,こんな次元からはさっさと脱出しようぜ。
Chap04_F2P_StartClick10,Narrator,6,,"On ne sait jamais, ça pourrait être contagieux.","Bulaşıcı olabilir, bilemeyiz.","Man weiß ja nie, sie könnte ansteckend sein.",Nunca se sabe; podría ser contagioso.,"Nunca se sabe, pode ser contagioso.",世事难料，那可能会传染的。,"Non si sa mai, potrebbe essere contagioso.","Будем надеяться, что оно нас не затянет.",당신은 몰라요. 전염성이 있다고요.,F2Pが伝染するかもしれん。
Chap04_F2P_StartClick11,Narrator,0,,"Et si vous lanciez le jeu, histoire de ne pas trop trainer ici.",Neden oyunu başlatmıyorsun? Hızlıca çıkalım şu boyuttan.,"Starte doch das Spiel, damit wir hier schnell rauskommen.",¿Por qué no arrancas el juego para que podamos salir de aquí rápidamente?,Por que você não inicia o jogo para que possamos dar o fora daqui rápido?,你为什么不启动游戏，这样我们就不用在这里逗留太久。,"Perché non inizi il gioco, così possiamo andarcene in fretta.","Может, ты начнёшь игру, чтобы мы могли быстро выбраться отсюда?",빨리 게임 좀 시작해 봐요. 여기서 빨리 나가게.,早く始めろよ、そしたらそれだけ早く出られる。
Chap04_F2P_HeadFace01,Narrator,0,,Qu'est-ce que c'est que cette fenêtre ?,O uyarı da ne?,Was ist das für ein Pop-up?,¿Qué es esa ventana emergente?,Que pop-up é essa?,那个弹窗是什么？,Cos'è quel pop-up?,Что за окошко?,저 팝업 뭐죠?,なんだこれ。
Chap04_F2P_Autorization01,Narrator,0,,Encore une ?,Bir tane daha mı?,Noch eins?,¿Otra?,Mais uma?,又来一个？,Un altro?,Ещё одно?,또 나온다고?,まだあるのか？
Chap04_F2P_AutorizationOk01,Narrator,0,,"Ça y est, on peut jouer ?","Tamam, artık oynayabilir miyiz?","Okay, können wir jetzt spielen?","Vale, ¿podemos jugar ahora?","Certo, podemos jogar agora?",好了，我们现在可以玩了吗？,"Ok, possiamo giocare ora?","Ладно, теперь мы можем поиграть?","좋아, 이제 플레이 좀 하자?",よし、今度こそ始まるよな？
Chap04_F2P_CGUpop01,Narrator,0.2,,Mais c'est pas vrai !,"Ah, hadi ama!","Och, komm schon!",¡Venga ya!,"Ah, qual é!",噢，行了！,"Oh, andiamo!","Ой, да ладно!","아, 진짜!",うへっ、まだかよ！
Chap04_F2P_CGUpop02,Narrator,0.2,,"Je vous avais dit, utilisateur.",Sana söylemiştim Kullanıcı!,"Ich habe es dir gesagt, User.","Te lo dije, usuario.","Eu te falei, usuário.",我告诉过你的，用户。,"Te l'ho detto, Utente.","А я говорил тебе, пользователь.","말 했죠, 유저님.",言ったろ、ユーザー。
Chap04_F2P_CGUpop03,Narrator,0,,Il n'y a rien de pire que les Free2Play...,Free2Play'den daha kötü bir şey yoktur...,Es gibt nichts Schlimmeres als ein Free2Play ...,No hay nada peor que un free2play...,Não há nada pior do que um free2play...,没什么比Free2Play更糟的...,Non c'è niente di peggio di un Free2Play...,"Нет ничего хуже, чем Free2Play...",무료 플레이만큼 나쁜 건 없다고요...,F2Pほどひどいものはないって…
Chap04_F2P_IntroRoom01,Narrator,0.5,,"Super, l’aventure a repris depuis le début.","Harika, tekrar başa döndük.","Na toll, wir sind wieder am Anfang.","Genial, hemos vuelto al principio.","Que ótimo, estamos de volta ao começo.",好极了...我们回到了开始。,"Fantastico, siamo tornati all'inizio.","Отлично, мы вернулись к самому началу.","좋아요, 이제 처음으로 돌아갔네요.",やれやれ、また最初からか。
Chap04_F2P_IntroRoom02,Narrator,0.4,,"La pièce a changé, non ?",Oda farklı görünüyor değil mi?,"Der Raum sieht doch anders aus, oder?","La sala parece diferente, ¿no?","O cômodo está meio diferente, não está?",房间看上去不一样，难道不是吗？,"La stanza ha un aspetto diverso, no?","Комната выглядит по-другому, да?",방이 좀 바뀐 거 같지 않아요?,部屋の様子が前とちがわないか？
Chap04_F2P_IntroRoom03,Narrator,0.2,,"Bon, pas de temps à perdre.","Tamam, kaybedecek zamanımız yok.","Also gut, keine Zeit verlieren.","Vale, no hay tiempo que perder.","Certo, não temos tempo a perder.",行了，没时间浪费了。,"Va bene, non c'è tempo da perdere.","Ладно, не стоит терять время.",좋아요 시간 낭비하지 맙시다.,まあいい、さっさと進めよう。
Chap04_F2P_IntroRoom04,Narrator,0.3,,Laissez-moi réveiller notre ami et allons sauver la princesse rapidement.,Arkadaşımızı uyandırayım da prensesi kurtarmaya gidelim.,"Lass mich unseren Freund wecken, damit wir die Prinzessin retten können.",Déjame despertar a nuestro amigo y salvemos a la princesa.,Deixa eu acordar o nosso amigo aqui e vamos salvar a princesa.,我去叫醒我们的朋友，然后我们去救公主吧。,Svegliamo il nostro amico e andiamo a salvare la principessa.,"Давай я разбужу нашего друга, и мы пойдем спасать принцессу.",우리 친구를 깨우고 공주를 구하러 가요.,我らが友人を起こして姫を救いに行くぞ。
Chap04_F2P_IntroRoom05,Narrator,1,,Debout Héros !,"Uyan, Kahraman!","Aufwachen, Held!","¡Despierta, héroe!","Levanta, herói!",起床了，英雄！,"Sveglia, Eroe!","Просыпайся, Герой!","일어나, 영웅아!",起きろ、勇者！
Chap04_F2P_IntroRoom06,Narrator,0.5,,J'ai juste réussi à faire gigoter le lit.,Yatağı hareket ettirdim.,Ich habe gerade das Bett bewegt.,Acabo de hacer que la cama se mueva.,Eu só fiz a cama se mexer.,我刚让床动了。,Ho solo fatto muovere il letto.,Я только заставил кровать двигаться.,방금 침대를 움직이게 했네요.,ベッドが動いた。
Chap04_F2P_IntroRoom07,Narrator,5,,J'avais pourtant réussi à le réveiller la première fois. Non ?,"Ama ilk seferinde onu uyandırabilmiştim, değil mi?",Aber ich konnte ihn beim ersten Mal wecken. Oder?,"Pero he podido despertarlo a la primera, ¿no?",Mas eu consegui acordá-lo da primeira vez. Não foi?,第一次我叫醒他了，对吧？,"Ma ero riuscito a svegliarlo la prima volta, giusto?",Но я же смог разбудить его в первый раз. Так ведь?,그런데 처음엔 제가 깨울 수 있지 않았던가요?,でも前回はこれで勇者が起きたよな。
Chap04_F2P_IntroRoom08,Narrator,0,,Pourquoi le lit gigote comme ça ?,Yatak neden öyle hareket ediyor?,Warum bewegt sich das Bett so?,¿Por qué se mueve así la cama?,Por que a cama está se mexendo assim?,床怎么动成那样呢？,Perché il letto si muove così?,Почему кровать так двигается?,왜 침대가 저렇게 움직이는 거죠?,なんだこのベッドの怪しい動きは。
Chap04_F2P_GotMoney01,Narrator,0.4,,Mais ? Le lit vous donne des pièces de monnaie quand vous cliquez dessus ?,Ne? Yatağın üstüne tıklayınca altın mı kazanıyorsun?,"Was? Das Bett gibt dir Münzen, wenn du darauf klickst?",¿Qué? ¿La cama te da monedas cuando haces clic en ella?,O quê? A cama te dá moedas quando clica nela?,什么？你点击床的时候，硬币就出来了？,Cosa? Il letto ti dà delle monete quando ci clicchi sopra?,"Что? Кровать даёт тебе монеты, когда ты кликаешь на неё?",뭐야? 침대를 클릭하면 동전을 준다고?,え？ ベッドをクリックしたらコインが出る？
Chap04_F2P_GotMoney02,Narrator,3,,"Ah oui, c'est vrai... c'est devenu un Free2Play.","Ah, evet, doğru... Oyun artık Free2Play.","Oh, ach ja ... es ist ja jetzt ein Free2Play.","Anda, sí, es verdad... ahora es un free2play.","Ah, sim, isso mesmo... é um free2play agora.",噢，也是...它现在是一个Free2Play。,"Oh, sì, è vero... ora è un Free2Play.","А, ну да, точно... Теперь это Free2Play.","아, 맞아. 그렇지... 여기 무료 플레이 게임이지.",ああ、そうか、わかった… F2Pになったからだな。
Chap04_F2P_GotMoney03,Narrator,0,,On doit surement pouvoir utiliser cette monnaie mais comment ?,"Bu parayı bir şekilde kullanabiliyor olmamız lazım, ama nasıl?","Wir müssen dieses Geld irgendwie benutzen können, aber wie?","Deberíamos poder usar este dinero, pero ¿cómo?","Nós devemos conseguir usar esse dinheiro, mas como?",我们应该能够用这个钱，但怎么用呢？,"Dovremmo essere in grado di usare questi soldi, ma come?","Мы должны использовать эти деньги, но как?",이 돈을 사용해야 해요. 그런데 어떻게 하죠?,このコインを消費して何かするんだろうな。でも何を？
Chap04_F2P_WakeUp01,Narrator,0.2,,Ah ! Le voilà enfin réveillé.,Ha! Sonunda uyandı.,Ha! Er ist endlich wach.,¡Ajá! Por fin está despierto.,Rá! Ele finalmente acordou.,哈！他终于醒了。,Ha! Finalmente si è svegliato.,Ха! Он наконец-то проснулся.,하! 드디어 일어났네요.,あ！ やっと起きやがった。
Chap04_F2P_WakeUp02,RpgHero,0,,Quelle est cette voix ? Gaïa ? Est-ce toi ?,O ses de ne? Gaia? Bu sen misin?,Was ist das für eine Stimme? Gaia? Bist du das?,¿Qué es esa voz? ¿Gaia? ¿Eres tú?,Que voz é essa? Gaia? É você?,那是什么声音？盖亚？是你吗？,Cos'è questa voce? Gaia? Sei tu?,Что это за голос? Гайя? Это ты?,무슨 목소리지? 가이아님? 당신인가요?,その声は、ガイア？ あなたなんですか？
Chap04_F2P_WakeUp03,Narrator,0.2,,"Oui, c’est Gaïa. Princesse en danger, temple dimensionnel, Dark Lord, tout ça.","Evet, ben Gaia. Prenses Tehlikede, Boyutsal Tapınak, Karanlık Lord... falan filan.","Ja, ich bin‘s, Gaia. Prinzessin in Gefahr, Dimensionstempel, Dark Lord ... bla bla bla.","Sí, soy Gaia. Princesa en peligro, templo dimensional, Dark Lord y todo eso.","Sim, é a Gaia. Princesa em apuros, Templo Dimensional, Dark Lord... blá, blá, blá.",是的，是盖亚啊。公主遇险啊，维度神殿啊，暗黑领主啊...怎么怎么的。,"Sì, sono Gaia. Principessa in pericolo, Tempio dimensionale, Dark Lord... blah blah.","Да, это Гайя. Принцесса в опасности, Храм измерений, Тёмный лорд и т. д., и т. п.","그래. 가이아다. 공주가 위험에 처했다. 차원의 신전, 어둠의 군주... 어쩌고 저쩌고.",そうだよ。姫が危険で、次元の神殿に、ダークロードが… 以下略。
Chap04_F2P_WakeUp04,Narrator,0.2,,"Allez, on bouge ses p'tites fesses. Go go go !",Hadi. Acele et. Gidelim!,Komm schon. Mach schnell. Los los los!,"Venga. Despégate las sábanas. ¡Vamos, vamos!","Vamos lá. Mexa-se. Vamos, vamos, vamos!",来吧！小屁股动起来，走啦走啦！,Forza. Datti una mossa. Via via via!,"Давай! Шевелись. Пошли, пошли!",서둘러. 다리 움직여. 가자 가자 가자!,ほら行くぞ。早くしろ。走れ走れ！
Chap04_F2P_WakeUp05,RpgHero,0,,Heu... D’accord ! ,Uhhh... Tamam!,Ähhh ... Okay!,Uh... ¡Vale!,Errrr... Está bem!,呃呃...好！,Uhhh... OK!,Э-э-э... Хорошо!,어어... 네!,わわ… わかった！
Chap04_F2P_WakeUp06,RpgHero,0,,Même si j’aurais aimé d’abord prendre mon petit déjeuner à base de céréales Crunchy Crunchy.,Tabi öncesinde Crunchy Crunchy kahvaltılık gevreğimi yemeyi çok isterdim.,Auch wenn ich gerne zuerst mein Knusper-Knusper-Frühstücksmüsli gehabt hätte.,Aunque me hubiera gustado desayunar primero mis cereales Crunchy Crunchy.,Apesar de que eu gostaria de comer o meu cereal Crunchy Crunchy no café da manhã primeiro.,尽管我还想先吃我的早餐耶，谷物脆脆脆！,Anche se mi sarebbe piaciuto fare prima colazione con i miei cereali Crunchy Crunchy.,"Но для начала я бы съел мои хлопья для завтрака ""Crunchy Crunchy"".",그래도 일단 바삭바삭한 아침용 시리얼부터 먹어야겠어요.,でもせめて朝食に Crunchy Crunchy シリアルだけは食べていかないと。
